AÑO,CÓDIGO_ETC,ETC,POBLACIÓN_5_16,TASA_MATRICULACIÓN_5_16,COBERTURA_NETA,COBERTURA_NETA_TRANSICIÓN,COBERTURA_NETA_PRIMARIA,COBERTURA_NETA_SECUNDARIA,COBERTURA_NETA_MEDIA,COBERTURA_BRUTA,COBERTURA_BRUTA_TRANSICIÓN,COBERTURA_BRUTA_PRIMARIA,COBERTURA_BRUTA_SECUNDARIA,COBERTURA_BRUTA_MEDIA,TAMAÑO_PROMEDIO_DE_GRUPO,SEDES_CONECTADAS_A_INTERNET,DESERCIÓN,DESERCIÓN_TRANSICIÓN,DESERCIÓN_PRIMARIA,DESERCIÓN_SECUNDARIA,DESERCIÓN_MEDIA,APROBACIÓN,APROBACIÓN_TRANSICIÓN,APROBACIÓN_PRIMARIA,APROBACIÓN_SECUNDARIA,APROBACIÓN_MEDIA,REPROBACIÓN,REPROBACIÓN_TRANSICIÓN,REPROBACIÓN_PRIMARIA,REPROBACIÓN_SECUNDARIA,REPROBACIÓN_MEDIA,REPITENCIA,REPITENCIA_TRANSICIÓN,REPITENCIA_PRIMARIA,REPITENCIA_SECUNDARIA,REPITENCIA_MEDIA
2024,3822,Palmira,61232,79.16,79.03,51.72,75.93,69.71,46.49,88.61,72.43,88.97,95.65,81.63,,,5.14,4.98,4.51,6.52,3.52,84.3,94.74,88.87,75.27,88.76,10.55,0.28,6.62,18.21,7.72,8.89,2.41,8.13,12.68,4.18
2024,3821,Cartago,24386,69.67,69.62,52.83,67.22,62.41,42.79,77.36,69.01,77.35,82.12,71.68,,,5.18,4.19,3.92,7.35,3.97,86.68,95.81,91.02,79.08,88.83,8.13,0.0,5.07,13.57,7.19,8.1,1.84,6.25,13.1,4.02
2024,3820,Guadalajara de Buga,23246,74.21,74.06,48.15,69.31,66.89,46.09,82.95,65.0,81.77,89.42,81.43,,,4.91,7.86,4.03,6.3,2.52,88.16,90.83,91.33,82.86,92.13,6.93,1.31,4.64,10.84,5.34,9.88,9.75,8.75,12.95,4.87
2024,3819,Buenaventura,84021,63.15,62.94,35.69,56.26,48.64,32.34,75.51,58.24,77.08,77.98,75.74,,,3.31,3.26,3.6,3.28,2.44,86.29,95.74,86.62,82.55,90.7,10.39,1.0,9.78,14.17,6.86,13.52,11.71,15.96,13.67,5.4
2024,3818,Cali,379094,79.03,78.77,57.95,76.93,68.18,48.83,87.37,73.06,87.99,88.62,90.14,,,4.41,4.7,3.99,5.29,3.39,88.49,94.88,90.88,83.39,90.67,7.09,0.42,5.13,11.32,5.94,8.13,4.57,7.34,11.33,4.34
2024,3817,Valle del Cauca (ETC),168179,74.49,74.47,56.97,73.6,63.25,44.34,83.7,77.96,85.86,85.69,77.11,,,5.62,6.78,4.62,7.16,4.28,88.03,92.95,90.63,82.62,90.72,6.35,0.27,4.75,10.22,5.01,8.18,4.53,7.56,11.49,3.82
2024,3816,Ibagué,84589,108.9,108.71,83.49,111.84,93.82,61.7,119.67,114.53,129.13,121.83,98.62,,,4.18,4.4,3.48,5.29,3.31,89.17,95.51,92.64,83.44,90.94,6.64,0.09,3.89,11.27,5.75,7.69,6.31,5.95,11.38,4.06
2024,3815,Tolima (ETC),152009,90.62,90.58,64.66,90.25,76.25,50.01,100.23,92.35,106.64,101.32,86.37,,,3.39,3.57,2.48,4.75,2.84,91.22,96.05,92.89,87.11,93.55,5.4,0.38,4.63,8.14,3.61,8.06,3.32,8.35,10.46,3.33
2024,3814,Sincelejo,60154,96.74,96.65,72.43,94.47,85.16,57.01,107.25,96.76,108.22,111.74,100.96,,,3.02,2.54,2.43,4.03,2.4,89.19,97.43,92.36,83.78,89.89,7.78,0.03,5.21,12.19,7.72,8.7,1.66,7.52,12.58,5.5
2024,3813,Sucre (ETC),142917,88.14,88.1,58.02,85.68,71.23,43.61,99.54,110.29,105.89,99.14,79.93,,,3.21,5.05,2.23,4.19,2.78,89.29,94.38,91.73,84.42,90.24,7.5,0.57,6.04,11.4,6.98,10.6,18.86,8.93,12.38,5.73
2024,3812,Girón,30413,94.97,94.89,71.09,95.92,81.91,51.17,102.47,94.11,110.67,105.52,80.42,,,4.43,5.14,3.52,5.64,3.77,87.61,94.86,91.65,80.49,89.76,7.97,0.0,4.82,13.87,6.48,8.32,2.24,6.82,12.89,3.92
2024,3811,Floridablanca,52742,82.08,81.69,56.6,82.14,73.96,47.54,87.15,74.09,91.51,91.77,74.03,,,4.82,4.83,4.56,5.72,3.04,87.38,93.88,91.32,80.79,90.69,7.8,1.28,4.11,13.49,6.27,8.05,3.38,5.4,12.68,5.44
2024,3810,Barrancabermeja,40899,113.53,113.42,72.2,107.88,103.68,64.84,124.11,88.64,123.7,133.83,124.21,,,3.48,3.41,2.87,4.56,2.39,87.03,96.39,91.86,79.35,88.87,9.5,0.19,5.27,16.09,8.74,9.31,2.68,7.82,13.5,4.82
2024,3809,Bucaramanga,93195,98.71,98.54,72.77,98.66,87.16,60.69,107.3,93.98,110.87,108.36,103.07,,,4.48,5.86,4.24,5.06,3.09,88.28,94.02,91.83,82.16,89.52,7.24,0.12,3.93,12.78,7.39,6.97,2.77,5.77,10.72,3.31
2024,3808,Santander (ETC),154124,86.81,86.79,58.3,83.82,76.01,51.24,98.85,85.19,96.84,99.85,108.29,,,3.39,4.35,2.76,4.28,2.64,91.08,95.47,93.76,86.12,93.08,5.53,0.19,3.48,9.6,4.28,7.4,2.61,6.17,11.1,4.33
2024,3807,Dosquebradas,34512,84.51,84.46,59.78,82.76,76.21,48.81,92.01,78.01,94.97,97.5,80.77,,,5.83,5.43,4.96,7.28,5.01,85.57,94.57,90.54,77.01,87.95,8.6,0.0,4.5,15.71,7.04,8.43,2.4,6.78,13.31,3.58
2024,3806,Pereira,71771,102.96,102.45,72.1,97.56,90.86,62.04,114.83,96.12,113.18,123.12,111.4,,,5.49,6.35,5.11,6.64,3.31,87.06,92.83,90.12,81.35,90.08,7.45,0.82,4.77,12.0,6.61,8.43,5.82,7.22,12.0,4.11
2024,3805,Risaralda (ETC),48980,85.79,85.79,57.63,81.9,71.24,51.07,97.62,87.96,99.26,99.52,94.39,,,5.21,5.08,3.95,7.18,4.81,89.86,94.89,91.33,85.83,91.72,4.92,0.03,4.72,6.99,3.46,7.53,3.13,7.87,9.81,3.36
2024,3804,Armenia,43003,90.7,90.62,70.78,91.87,80.11,55.99,96.17,84.37,101.77,98.77,83.34,,,5.02,3.94,4.23,6.52,4.38,89.18,96.02,92.53,83.41,89.27,5.8,0.04,3.23,10.07,6.35,7.62,1.53,5.89,11.99,5.41
2024,3803,Quindio (ETC),39388,89.44,89.42,65.99,84.91,78.92,53.24,99.53,90.45,101.49,105.79,86.73,,,4.55,3.59,3.99,5.91,3.4,87.76,96.25,89.88,81.64,91.75,7.7,0.16,6.13,12.45,4.85,8.42,1.64,7.91,12.17,4.27
2024,3802,Cúcuta,147515,92.34,92.26,68.84,89.35,79.28,56.67,103.68,91.62,102.98,101.1,116.49,,,4.28,5.07,4.24,4.72,2.7,87.62,94.69,89.89,81.97,90.82,8.11,0.24,5.87,13.32,6.48,8.33,2.39,7.31,12.52,3.91
2024,3801,Norte de Santander (ETC),182531,84.32,84.28,62.9,84.49,68.49,40.65,91.9,88.12,102.29,89.71,71.11,,,4.43,4.85,3.95,5.35,3.55,88.73,94.7,91.02,83.51,89.73,6.84,0.44,5.03,11.13,6.72,8.44,2.92,8.23,11.17,5.37
2024,3800,San Andres de Tumaco,60491,66.14,66.1,44.4,60.75,48.2,25.56,81.17,65.2,84.66,88.34,65.61,,,3.83,2.48,3.26,5.02,3.38,87.01,96.56,86.63,84.14,91.49,9.16,0.96,10.11,10.84,5.12,13.74,3.5,15.29,16.63,4.31
2024,3799,Pasto,59882,96.55,96.42,79.22,96.72,86.43,65.91,106.46,87.39,104.32,111.31,110.84,,,2.1,1.33,1.3,3.41,1.51,90.72,98.56,95.85,83.22,91.4,7.18,0.11,2.85,13.37,7.09,6.69,0.88,4.19,11.84,3.78
2024,3798,Nariño (ETC),164579,69.75,69.74,46.44,66.94,56.58,36.38,79.19,65.92,85.06,80.84,67.81,,,2.13,1.4,1.37,3.18,2.52,93.72,98.19,95.48,90.4,93.62,4.15,0.41,3.15,6.42,3.86,8.14,2.62,9.22,9.78,3.14
2024,3797,Villavicencio,103747,87.71,87.63,61.63,85.54,76.26,52.43,100.89,85.68,98.63,98.64,117.34,,,4.11,5.2,3.75,5.02,2.29,89.01,94.72,91.92,83.07,92.76,6.88,0.08,4.34,11.91,4.95,8.43,3.15,7.28,12.74,3.06
2024,3759,Medellín,376137,93.77,93.58,76.51,93.2,80.61,56.7,104.12,88.55,104.44,110.28,98.57,,,3.18,3.25,2.81,3.95,2.39,88.74,96.68,91.83,82.35,91.17,8.08,0.08,5.36,13.7,6.44,9.08,1.89,7.86,13.73,4.82
